Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557765147761, 1292365, 587, 538, 438
1557765147775, 1292379, 587, 538, 438
1557765147788, 1292392, 587, 537, 438
1557765147801, 1292405, 586, 537, 438
1557765147813, 1292418, 586, 537, 438
1557765147827, 1292431, 587, 537, 439
1557765147839, 1292444, 588, 537, 440
1557765147853, 1292457, 587, 537, 439
1557765147867, 1292471, 587, 536, 438
1557765147879, 1292484, 587, 536, 438
1557765147892, 1292496, 587, 536, 438
1557765147905, 1292510, 587, 536, 439
1557765147919, 1292523, 587, 536, 439
1557765147933, 1292536, 587, 536, 439
1557765147945, 1292549, 588, 536, 440
1557765147958, 1292562, 588, 536, 440
1557765147971, 1292575, 587, 536, 439
1557765147984, 1292589, 586, 536, 439
1557765147998, 1292602, 586, 536, 439
1557765148010, 1292614, 587, 537, 439
1557765148025, 1292627, 586, 538, 438
1557765148037, 1292641, 586, 539, 438
1557765148050, 1292654, 585, 539, 437
1557765148062, 1292667, 583, 540, 436
1557765148075, 1292680, 584, 539, 435
1557765148089, 1292693, 582, 541, 432
1557765148102, 1292706, 582, 544, 427
1557765148116, 1292720, 579, 545, 418
1557765148128, 1292733, 575, 548, 404
1557765148141, 1292745, 575, 547, 391
1557765148155, 1292759, 579, 550, 380
1557765148167, 1292772, 593, 558, 373
1557765148181, 1292785, 610, 573, 361
1557765148194, 1292798, 611, 593, 346
1557765148206, 1292811, 615, 604, 330
1557765148221, 1292824, 630, 606, 321
1557765148233, 1292837, 645, 594, 310
1557765148247, 1292851, 663, 579, 303
1557765148259, 1292864, 673, 570, 303
1557765148273, 1292876, 683, 573, 301
1557765148285, 1292890, 682, 582, 297
1557765148299, 1292903, 689, 589, 308
1557765148311, 1292916, 706, 593, 318
1557765148325, 1292930, 709, 597, 331
1557765148338, 1292942, 708, 603, 350
1557765148351, 1292955, 708, 611, 372
1557765148365, 1292968, 698, 616, 384
1557765148378, 1292982, 679, 622, 397
1557765148391, 1292995, 657, 623, 406
1557765148404, 1293007, 653, 622, 426
1557765148417, 1293021, 654, 613, 450
1557765148430, 1293034, 656, 601, 477
1557765148443, 1293047, 661, 583, 482
1557765148456, 1293061, 622, 558, 464
1557765148469, 1293073, 613, 547, 459
1557765148482, 1293086, 605, 538, 454
1557765148495, 1293100, 590, 531, 455
1557765148508, 1293113, 573, 527, 455
1557765148522, 1293126, 553, 525, 453
1557765148535, 1293138, 542, 521, 458
1557765148548, 1293152, 527, 518, 457
1557765148561, 1293165, 524, 506, 454
1557765148573, 1293178, 523, 498, 448
1557765148587, 1293192, 521, 493, 447
1557765148602, 1293204, 529, 488, 449
1557765148613, 1293217, 542, 487, 455
1557765148626, 1293231, 561, 486, 465
1557765148639, 1293244, 575, 477, 470
1557765148652, 1293257, 583, 462, 465
1557765148666, 1293270, 598, 453, 457
1557765148679, 1293283, 628, 450, 443
1557765148691, 1293296, 668, 459, 437
1557765148709, 1293309, 704, 503, 433
1557765148721, 1293323, 696, 580, 420
1557765148732, 1293335, 649, 660, 404
1557765148749, 1293348, 589, 712, 397
1557765148757, 1293362, 567, 716, 421
1557765148771, 1293375, 579, 670, 477
1557765148790, 1293388, 596, 615, 541
1557765148796, 1293401, 608, 573, 599
1557765148809, 1293414, 614, 551, 649
1557765148822, 1293427, 597, 547, 685
1557765148835, 1293441, 586, 560, 709
1557765148849, 1293454, 572, 577, 720
1557765148863, 1293466, 567, 575, 710
1557765148876, 1293479, 561, 559, 668
1557765148890, 1293493, 553, 536, 615
1557765148901, 1293506, 542, 516, 565
1557765148915, 1293519, 527, 499, 523
1557765148928, 1293532, 517, 485, 498
1557765148941, 1293545, 515, 477, 490
1557765148954, 1293558, 521, 472, 496
1557765148967, 1293572, 523, 470, 510
1557765148980, 1293585, 522, 472, 524
1557765148994, 1293597, 525, 479, 536
1557765149006, 1293611, 528, 485, 543
1557765149019, 1293624, 527, 481, 544
1557765149033, 1293637, 525, 478, 543
1557765149046, 1293650, 520, 484, 540
1557765149059, 1293663, 509, 495, 537
1557765149072, 1293676, 497, 511, 536
1557765149085, 1293689, 490, 523, 542
1557765149098, 1293703, 487, 523, 552
1557765149111, 1293716, 484, 516, 561
1557765149124, 1293728, 479, 500, 562
1557765149138, 1293742, 478, 486, 555
1557765149151, 1293755, 466, 481, 544
1557765149165, 1293768, 462, 479, 539
1557765149177, 1293782, 465, 486, 539
1557765149189, 1293794, 483, 495, 538
1557765149204, 1293807, 491, 503, 532
1557765149217, 1293820, 501, 509, 510
1557765149229, 1293834, 522, 518, 479
1557765149243, 1293847, 533, 527, 447
1557765149255, 1293859, 539, 526, 433
1557765149268, 1293873, 567, 540, 419
1557765149281, 1293886, 583, 574, 381
1557765149295, 1293899, 569, 590, 351
1557765149307, 1293913, 574, 567, 355
1557765149320, 1293925, 589, 546, 362
1557765149334, 1293938, 604, 563, 348
1557765149348, 1293952, 610, 622, 306
1557765149361, 1293965, 596, 663, 273
1557765149373, 1293978, 569, 656, 245
1557765149387, 1293990, 560, 606, 266
1557765149400, 1294004, 561, 555, 301
1557765149412, 1294017, 584, 529, 341
1557765149427, 1294030, 622, 523, 371
1557765149439, 1294044, 682, 527, 383
1557765149453, 1294056, 754, 550, 347
1557765149466, 1294069, 781, 577, 282
1557765149478, 1294083, 790, 583, 225
1557765149491, 1294096, 774, 582, 176
1557765149505, 1294109, 724, 610, 136
1557765149517, 1294121, 656, 655, 115
1557765149531, 1294135, 580, 683, 149
1557765149544, 1294148, 547, 691, 227
1557765149557, 1294161, 583, 685, 325
1557765149569, 1294175, 631, 644, 412
1557765149583, 1294187, 648, 579, 463
1557765149596, 1294200, 634, 526, 474
1557765149611, 1294214, 629, 492, 469
1557765149623, 1294227, 609, 474, 459
1557765149636, 1294240, 594, 476, 449
1557765149652, 1294253, 581, 484, 445
1557765149662, 1294266, 570, 496, 442
1557765149675, 1294279, 569, 508, 444
1557765149688, 1294292, 572, 516, 449
1557765149702, 1294306, 581, 519, 457
1557765149715, 1294318, 590, 520, 465
1557765149727, 1294331, 596, 518, 466
1557765149741, 1294345, 599, 522, 462
1557765149754, 1294358, 597, 525, 454
1557765149767, 1294370, 595, 529, 445
1557765149780, 1294384, 592, 532, 435
1557765149793, 1294397, 592, 532, 429
1557765149806, 1294410, 594, 532, 425
1557765149819, 1294424, 595, 532, 426
1557765149832, 1294436, 597, 530, 431
1557765149845, 1294449, 600, 530, 438
1557765149858, 1294462, 600, 530, 444
1557765149872, 1294476, 600, 531, 449
1557765149884, 1294489, 598, 532, 451
1557765149898, 1294501, 597, 531, 450
1557765149910, 1294515, 595, 529, 450
1557765149924, 1294528, 594, 526, 450
1557765149936, 1294541, 593, 524, 448
1557765149951, 1294555, 591, 522, 446
1557765149963, 1294568, 591, 523, 445
1557765149976, 1294580, 592, 527, 444
1557765149989, 1294594, 591, 531, 442
1557765150003, 1294607, 590, 534, 440
1557765150016, 1294620, 589, 531, 439
1557765150028, 1294632, 588, 528, 440
1557765150042, 1294646, 589, 526, 442
1557765150056, 1294659, 588, 527, 443
1557765150069, 1294672, 590, 530, 445
1557765150081, 1294686, 589, 532, 446
1557765150094, 1294698, 587, 533, 445
1557765150108, 1294711, 586, 533, 443
1557765150120, 1294725, 587, 532, 442
1557765150134, 1294738, 588, 531, 442
1557765150147, 1294751, 589, 531, 443
